movie_id,title,release_date,budget,revenue,genres,vote_average,vote_count,country,imdb_id,metacritic_score
694,The Shining,1980-05-23,19000000,44781695,Thriller,8.222,15701,['United States of America'],tt0081505,66
424694,Bohemian Rhapsody,2018-10-24,52000000,903992901,Music,8.0,15657,"['United Kingdom', 'United States of America']",tt1727824,49
424694,Bohemian Rhapsody,2018-10-24,52000000,903992901,Drama,8.0,15657,"['United Kingdom', 'United States of America']",tt1727824,49
424694,Bohemian Rhapsody,2018-10-24,52000000,903992901,History,8.0,15657,"['United Kingdom', 'United States of America']",tt1727824,49
419430,Get Out,2017-02-24,4500000,255407969,Mystery,7.619,15625,['United States of America'],tt5052448,85
419430,Get Out,2017-02-24,4500000,255407969,Thriller,7.619,15625,['United States of America'],tt5052448,85
419430,Get Out,2017-02-24,4500000,255407969,Horror,7.619,15625,['United States of America'],tt5052448,85
205596,The Imitation Game,2014-11-14,14000000,233555708,History,8.01,15595,"['United Kingdom', 'United States of America']",tt2084970,71
205596,The Imitation Game,2014-11-14,14000000,233555708,Drama,8.01,15595,"['United Kingdom', 'United States of America']",tt2084970,71
205596,The Imitation Game,2014-11-14,14000000,233555708,Thriller,8.01,15595,"['United Kingdom', 'United States of America']",tt2084970,71
205596,The Imitation Game,2014-11-14,14000000,233555708,War,8.01,15595,"['United Kingdom', 'United States of America']",tt2084970,71
198663,The Maze Runner,2014-09-10,34000000,348319861,Action,7.173,15563,"['United States of America', 'United Kingdom']",tt1790864,57
198663,The Maze Runner,2014-09-10,34000000,348319861,Mystery,7.173,15563,"['United States of America', 'United Kingdom']",tt1790864,57
198663,The Maze Runner,2014-09-10,34000000,348319861,Science Fiction,7.173,15563,"['United States of America', 'United Kingdom']",tt1790864,57
198663,The Maze Runner,2014-09-10,34000000,348319861,Thriller,7.173,15563,"['United States of America', 'United Kingdom']",tt1790864,57
18785,The Hangover,2009-06-02,35000000,469310836,Comedy,7.309,15436,"['Germany', 'United States of America']",tt1119646,73
497,The Green Mile,1999-12-10,60000000,286801374,Fantasy,8.508,15391,['United States of America'],tt0120689,61
497,The Green Mile,1999-12-10,60000000,286801374,Drama,8.508,15391,['United States of America'],tt0120689,61
497,The Green Mile,1999-12-10,60000000,286801374,Crime,8.508,15391,['United States of America'],tt0120689,61
1891,The Empire Strikes Back,1980-05-20,18000000,538400000,Adventure,8.393,15335,['United States of America'],tt0080684,82
1891,The Empire Strikes Back,1980-05-20,18000000,538400000,Action,8.393,15335,['United States of America'],tt0080684,82
1891,The Empire Strikes Back,1980-05-20,18000000,538400000,Science Fiction,8.393,15335,['United States of America'],tt0080684,82
207703,Kingsman: The Secret Service,2014-12-13,81000000,414351546,Crime,7.637,15317,"['United Kingdom', 'United States of America']",tt2802144,60
207703,Kingsman: The Secret Service,2014-12-13,81000000,414351546,Comedy,7.637,15317,"['United Kingdom', 'United States of America']",tt2802144,60
207703,Kingsman: The Secret Service,2014-12-13,81000000,414351546,Action,7.637,15317,"['United Kingdom', 'United States of America']",tt2802144,60
207703,Kingsman: The Secret Service,2014-12-13,81000000,414351546,Adventure,7.637,15317,"['United Kingdom', 'United States of America']",tt2802144,60
808,Shrek,2001-05-18,60000000,487853320,Animation,7.723,15303,['United States of America'],tt0126029,84
808,Shrek,2001-05-18,60000000,487853320,Comedy,7.723,15303,['United States of America'],tt0126029,84
808,Shrek,2001-05-18,60000000,487853320,Fantasy,7.723,15303,['United States of America'],tt0126029,84
808,Shrek,2001-05-18,60000000,487853320,Adventure,7.723,15303,['United States of America'],tt0126029,84
808,Shrek,2001-05-18,60000000,487853320,Family,7.723,15303,['United States of America'],tt0126029,84
2062,Ratatouille,2007-06-28,150000000,623726000,Animation,7.799,15253,['United States of America'],tt0382932,96
2062,Ratatouille,2007-06-28,150000000,623726000,Comedy,7.799,15253,['United States of America'],tt0382932,96
2062,Ratatouille,2007-06-28,150000000,623726000,Family,7.799,15253,['United States of America'],tt0382932,96
2062,Ratatouille,2007-06-28,150000000,623726000,Fantasy,7.799,15253,['United States of America'],tt0382932,96
313369,La La Land,2016-11-29,30000000,447407695,Comedy,7.891,15234,['United States of America'],tt3783958,94
313369,La La Land,2016-11-29,30000000,447407695,Drama,7.891,15234,['United States of America'],tt3783958,94
313369,La La Land,2016-11-29,30000000,447407695,Romance,7.891,15234,['United States of America'],tt3783958,94
313369,La La Land,2016-11-29,30000000,447407695,Music,7.891,15234,['United States of America'],tt3783958,94
109445,Frozen,2013-11-20,150000000,1274219009,Animation,7.247,15169,['United States of America'],tt2294629,75
109445,Frozen,2013-11-20,150000000,1274219009,Family,7.247,15169,['United States of America'],tt2294629,75
109445,Frozen,2013-11-20,150000000,1274219009,Adventure,7.247,15169,['United States of America'],tt2294629,75
109445,Frozen,2013-11-20,150000000,1274219009,Fantasy,7.247,15169,['United States of America'],tt2294629,75
374720,Dunkirk,2017-07-19,100000000,527000000,War,7.46,15036,"['France', 'Netherlands', 'United Kingdom', 'United States of America']",tt5013056,94
374720,Dunkirk,2017-07-19,100000000,527000000,Action,7.46,15036,"['France', 'Netherlands', 'United Kingdom', 'United States of America']",tt5013056,94
374720,Dunkirk,2017-07-19,100000000,527000000,Drama,7.46,15036,"['France', 'Netherlands', 'United Kingdom', 'United States of America']",tt5013056,94
269149,Zootopia,2016-02-11,150000000,1023784195,Animation,7.746,14874,['United States of America'],tt2948356,78
269149,Zootopia,2016-02-11,150000000,1023784195,Adventure,7.746,14874,['United States of America'],tt2948356,78
269149,Zootopia,2016-02-11,150000000,1023784195,Family,7.746,14874,['United States of America'],tt2948356,78
269149,Zootopia,2016-02-11,150000000,1023784195,Comedy,7.746,14874,['United States of America'],tt2948356,78
240832,Lucy,2014-07-25,40000000,458863600,Action,6.433,14865,['France'],tt2872732,61
240832,Lucy,2014-07-25,40000000,458863600,Science Fiction,6.433,14865,['France'],tt2872732,61
329,Jurassic Park,1993-06-11,63000000,920100000,Adventure,7.935,14706,['United States of America'],tt0107290,68
329,Jurassic Park,1993-06-11,63000000,920100000,Science Fiction,7.935,14706,['United States of America'],tt0107290,68
321612,Beauty and the Beast,2017-03-16,160000000,1263521126,Family,6.963,14659,['United States of America'],tt2771200,65
321612,Beauty and the Beast,2017-03-16,160000000,1263521126,Fantasy,6.963,14659,['United States of America'],tt2771200,65
321612,Beauty and the Beast,2017-03-16,160000000,1263521126,Romance,6.963,14659,['United States of America'],tt2771200,65
274,The Silence of the Lambs,1991-02-14,19000000,272742922,Crime,8.344,14513,['United States of America'],tt0102926,86
274,The Silence of the Lambs,1991-02-14,19000000,272742922,Drama,8.344,14513,['United States of America'],tt0102926,86
274,The Silence of the Lambs,1991-02-14,19000000,272742922,Thriller,8.344,14513,['United States of America'],tt0102926,86
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000,1065659812,Adventure,7.339,14486,['United States of America'],tt0383574,53
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000,1065659812,Fantasy,7.339,14486,['United States of America'],tt0383574,53
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000,1065659812,Action,7.339,14486,['United States of America'],tt0383574,53
75656,Now You See Me,2013-05-29,75000000,351723989,Thriller,7.343,14437,['United States of America'],tt1670345,50
75656,Now You See Me,2013-05-29,75000000,351723989,Crime,7.343,14437,['United States of America'],tt1670345,50
177572,Big Hero 6,2014-10-24,165000000,657827828,Adventure,7.74,14428,['United States of America'],tt2245084,74
177572,Big Hero 6,2014-10-24,165000000,657827828,Family,7.74,14428,['United States of America'],tt2245084,74
177572,Big Hero 6,2014-10-24,165000000,657827828,Animation,7.74,14428,['United States of America'],tt2245084,74
177572,Big Hero 6,2014-10-24,165000000,657827828,Action,7.74,14428,['United States of America'],tt2245084,74
177572,Big Hero 6,2014-10-24,165000000,657827828,Comedy,7.74,14428,['United States of America'],tt2245084,74
131631,The Hunger Games: Mockingjay - Part 1,2014-11-19,125000000,755356711,Science Fiction,6.802,14390,['United States of America'],tt1951265,64
131631,The Hunger Games: Mockingjay - Part 1,2014-11-19,125000000,755356711,Adventure,6.802,14390,['United States of America'],tt1951265,64
131631,The Hunger Games: Mockingjay - Part 1,2014-11-19,125000000,755356711,Thriller,6.802,14390,['United States of America'],tt1951265,64
335983,Venom,2018-09-28,116000000,855013954,Science Fiction,6.829,14370,"['China', 'United States of America']",tt1270797,35
335983,Venom,2018-09-28,116000000,855013954,Action,6.829,14370,"['China', 'United States of America']",tt1270797,35
6479,I Am Legend,2007-12-12,150000000,585410052,Drama,7.199,14324,['United States of America'],tt0480249,65
6479,I Am Legend,2007-12-12,150000000,585410052,Science Fiction,7.199,14324,['United States of America'],tt0480249,65
6479,I Am Legend,2007-12-12,150000000,585410052,Thriller,7.199,14324,['United States of America'],tt0480249,65
129,Spirited Away,2001-07-20,19000000,274925095,Animation,8.542,14284,['Japan'],tt0245429,96
129,Spirited Away,2001-07-20,19000000,274925095,Family,8.542,14284,['Japan'],tt0245429,96
129,Spirited Away,2001-07-20,19000000,274925095,Fantasy,8.542,14284,['Japan'],tt0245429,96
339403,Baby Driver,2017-06-28,34000000,226945087,Action,7.455,14278,['United Kingdom'],tt3890160,86
339403,Baby Driver,2017-06-28,34000000,226945087,Crime,7.455,14278,['United Kingdom'],tt3890160,86
299537,Captain Marvel,2019-03-06,152000000,1131416446,Action,6.861,14244,['United States of America'],tt4154664,64
299537,Captain Marvel,2019-03-06,152000000,1131416446,Adventure,6.861,14244,['United States of America'],tt4154664,64
299537,Captain Marvel,2019-03-06,152000000,1131416446,Science Fiction,6.861,14244,['United States of America'],tt4154664,64
37724,Skyfall,2012-10-24,200000000,1142471295,Action,7.222,14222,"['United Kingdom', 'United States of America']",tt1074638,81
37724,Skyfall,2012-10-24,200000000,1142471295,Adventure,7.222,14222,"['United Kingdom', 'United States of America']",tt1074638,81
37724,Skyfall,2012-10-24,200000000,1142471295,Thriller,7.222,14222,"['United Kingdom', 'United States of America']",tt1074638,81
1892,Return of the Jedi,1983-05-25,32350000,572700000,Adventure,7.889,14198,['United States of America'],tt0086190,58
1892,Return of the Jedi,1983-05-25,32350000,572700000,Action,7.889,14198,['United States of America'],tt0086190,58
1892,Return of the Jedi,1983-05-25,32350000,572700000,Science Fiction,7.889,14198,['United States of America'],tt0086190,58
857,Saving Private Ryan,1998-07-24,70000000,481840909,Drama,8.209,14196,['United States of America'],tt0120815,91
857,Saving Private Ryan,1998-07-24,70000000,481840909,History,8.209,14196,['United States of America'],tt0120815,91
857,Saving Private Ryan,1998-07-24,70000000,481840909,War,8.209,14196,['United States of America'],tt0120815,91
49047,Gravity,2013-10-03,105000000,723192705,Science Fiction,7.158,14172,"['United Kingdom', 'United States of America']",tt1454468,96
49047,Gravity,2013-10-03,105000000,723192705,Thriller,7.158,14172,"['United Kingdom', 'United States of America']",tt1454468,96
49047,Gravity,2013-10-03,105000000,723192705,Drama,7.158,14172,"['United Kingdom', 'United States of America']",tt1454468,96
1124,The Prestige,2006-10-19,40000000,109676311,Drama,8.202,14161,"['United Kingdom', 'United States of America']",tt0482571,66
1124,The Prestige,2006-10-19,40000000,109676311,Mystery,8.202,14161,"['United Kingdom', 'United States of America']",tt0482571,66
1124,The Prestige,2006-10-19,40000000,109676311,Science Fiction,8.202,14161,"['United Kingdom', 'United States of America']",tt0482571,66
127585,X-Men: Days of Future Past,2014-05-15,250000000,747862775,Action,7.522,14134,['United States of America'],tt1877832,75
127585,X-Men: Days of Future Past,2014-05-15,250000000,747862775,Adventure,7.522,14134,['United States of America'],tt1877832,75
127585,X-Men: Days of Future Past,2014-05-15,250000000,747862775,Science Fiction,7.522,14134,['United States of America'],tt1877832,75
